resolved_name,family,source,source_id,abaxial_stomatal_density_mm2,adaxial_stomatal_density_mm2,abaxial_stomatal_length_um,adaxial_stomatal_length_um,phy_name,grass,c,h,j,m,b,abaxial_stomatal_area_um2,adaxial_stomatal_area_um2,abaxial_gmax,adaxial_gmax,abaxial_fs,adaxial_fs,genus,subspecies,chromostome_number_2n,ploidy_level_x,c_value_reference,c_value_note,dna_amount_2c_pg
Nicotiana_tabacum,Solanaceae,xiong_one_2020,Nicotiana tabacum,108.53946719333334,105.90268971,18.811905416666665,18.74274325,Nicotiana_tabacum,FALSE,0.5,0.5,0.5,0.4320531824955447,0.001111607142857143,176.9438927028063,175.6452122677103,0.6934162440668747,0.6740834830588284,0.01920539583707694,0.01860130041383441,Nicotiana,NA,48,4,leitch_ups_2008,NA,10.36
Nigella_damascena,Ranunculaceae,avita_structure_1980,Nigella damscena,124.8,57.6,43.4,33.4,Nigella_damascena,FALSE,0.5,0.5,0.5,0.4320531824955447,0.001111607142857143,941.78,557.78,1.8394070821013324,0.6533448763791333,0.117534144,0.032128128,Nigella,NA,12,2,evans_relationship_1972,NA,21
Nigella_hispanica,Ranunculaceae,avita_structure_1980,Nigella hispanica,73.6,56,41.2,40.6,Nigella_hispanica,FALSE,0.5,0.5,0.5,0.4320531824955447,0.001111607142857143,848.7200000000001,824.1800000000001,1.0297897619043028,0.7721249744966305,0.062465792,0.04615408,Nigella,NA,NA,NA,NA,NA,NA
Noaea_mucronata,Amaranthaceae,zarinkamar_stomatal_2007,Noaea mucronata,150.73,132.38,24.305,27.112,Noaea_mucronata,FALSE,0.5,0.5,0.5,0.4320531824955447,0.001111607142857143,295.3665125,367.53027199999997,1.2441388850060888,1.2188702360160975,0.044520594429124996,0.04865365740735999,Noaea,NA,NA,NA,NA,NA,NA
Onobrychis_bungei,Fabaceae,zarinkamar_stomatal_2007,Onobrychis bungei,206.68,352.8,20.07,20.52,Onobrychis_bungei,FALSE,0.5,0.5,0.5,0.4320531824955447,0.001111607142857143,201.40245000000002,210.5352,1.4087027576795828,2.4585524187937535,0.041625858366,0.07427681856,Onobrychis,NA,NA,NA,NA,NA,NA
Onobrychis_cornuta,Fabaceae,zarinkamar_stomatal_2007,Onobrychis cornuta,193.03,299.22,20.29,20.68,Onobrychis_cornuta,FALSE,0.5,0.5,0.5,0.4320531824955447,0.001111607142857143,205.84204999999997,213.8312,1.3300880668769994,2.1014288604365214,0.03973369091149999,0.063982571664,Onobrychis,NA,NA,NA,NA,NA,NA
Onobrychis_hohenackeriana,Fabaceae,zarinkamar_stomatal_2007,Onobrychis hohenackeriana,192.82,261.2,22.8,23.4,Onobrychis_hohenackeriana,FALSE,0.5,0.5,0.5,0.4320531824955447,0.001111607142857143,259.92,273.78,1.4930022593594467,2.075690365113197,0.0501177744,0.07151133599999998,Onobrychis,NA,NA,NA,NA,NA,NA
Onobrychis_michauxii,Fabaceae,zarinkamar_stomatal_2007,Onobrychis michauxii,292.7,310.7,23.12,21.65,Onobrychis_michauxii,FALSE,0.5,0.5,0.5,0.4320531824955447,0.001111607142857143,267.2672,234.36124999999996,2.298180268478618,2.2844028502474623,0.07822910943999999,0.07281604037499997,Onobrychis,NA,NA,NA,NA,NA,NA
Onosma_dichroanthum,Boraginaceae,zarinkamar_stomatal_2007,Onosma dichroanthum,496.9,350.4,20.02,21.8,Onosma_dichroanthum,FALSE,0.5,0.5,0.5,0.4320531824955447,0.001111607142857143,200.40019999999998,237.62,3.3783653125193793,2.5941443020702413,0.09957885938,0.08326204799999999,Onosma,NA,NA,NA,NA,NA,NA
Onosma_microcarpum,Boraginaceae,zarinkamar_stomatal_2007,Onosma microcarpum,297.5,227.7,24.25,22.02,Onosma_microcarpum,FALSE,0.5,0.5,0.5,0.4320531824955447,0.001111607142857143,294.03125,242.4402,2.4500347963072344,1.7027617454157626,0.087474296875,0.05520363354,Onosma,NA,NA,NA,NA,NA,NA
